compound_id,target_id,branch_sequence,branch_pose,branch_structure,consensus_123,disagreement_sd,disagreement_range,disagreement_branch_sd,structure_minus_pose,sequence_minus_structure
91-33-8,furin,0.7111000000000001,0.392,0.2571,0.3777333333333333,0.3423817168015839,0.9011,0.23314474045107692,-0.13490000000000002,0.45400000000000007
134308-13-7,furin,0.3518,0.44465,0.9419,0.6778,0.29919157575038774,0.7716000000000001,0.3173055034190236,0.49724999999999997,-0.5901
152459-95-5,furin,0.51785,0.5688,0.9605999999999999,0.7562083333333334,0.2519206813000208,0.6177999999999999,0.2422569933631087,0.3917999999999999,-0.44274999999999987
82586-55-8,furin,0.22085,0.92155,0.999,0.8434916666666666,0.4075581185548879,0.9915,0.4286600080483366,0.07745000000000002,-0.77815
475207-59-1,furin,0.7535499999999999,0.7827999999999999,0.85535,0.8142,0.15336314637704418,0.3778,0.05241231566467312,0.07255000000000011,-0.10180000000000011
75706-12-6,furin,0.5597,0.8005,0.94755,0.8338916666666667,0.23026593973056458,0.6197999999999999,0.19580430919670794,0.14705000000000001,-0.38785000000000003
41621-49-2,furin,0.15944999999999998,0.4171,0.43245,0.3818333333333333,0.17116313466008581,0.46890000000000004,0.1533776086439391,0.015349999999999975,-0.273
4205-91-8,furin,0.2235,0.90685,0.2564,0.4677333333333334,0.34879474049933723,0.7971,0.38538613428612095,-0.65045,-0.03290000000000001
479-18-5,furin,0.5727,0.4107,0.87415,0.669425,0.33889520159876363,0.8116000000000001,0.23519566499689853,0.46345,-0.30145
73963-72-1,furin,0.286,0.9819,0.7081500000000001,0.7290416666666667,0.32127277143677563,0.7892,0.35057726086175833,-0.27374999999999994,-0.4221500000000001
135729-62-3,furin,0.6646000000000001,0.4534,0.6700999999999999,0.59695,0.17286919525082156,0.43420000000000003,0.12355469773882873,0.2166999999999999,-0.005499999999999838
6018-19-5,furin,0.7351,0.7119,0.10725,0.41344166666666665,0.34839097816485814,0.8432,0.35598115235688155,-0.60465,0.62785
78415-72-2,furin,0.24925000000000003,0.5847,0.6715,0.5721916666666668,0.20562728823448184,0.5094000000000001,0.22299327530966787,0.08679999999999999,-0.42224999999999996
50-35-1,furin,0.1129,0.36205,0.31645,0.297725,0.13469065297933633,0.3656,0.13265725573823695,-0.045599999999999974,-0.20355
319460-85-0,furin,0.8367,0.65225,0.3702,0.5419666666666666,0.2884187470790806,0.8515,0.23494547417078146,-0.28205,0.4665
69-52-3,furin,0.38775,0.47909999999999997,0.7988999999999999,0.623775,0.2480783001392907,0.6801,0.21589394966047565,0.3198,-0.41114999999999996
6493-05-6,furin,0.10875000000000001,0.2514,0.64135,0.42260000000000003,0.2805343092505205,0.6287999999999999,0.27570297574261565,0.38994999999999996,-0.5326
183319-69-9,furin,0.46699999999999997,0.1015,0.80145,0.5123916666666667,0.32884143747405076,0.8694999999999999,0.35008976348930854,0.69995,-0.33445
219861-08-2,furin,0.37105,0.8751,0.9433,0.8251916666666667,0.2906410804870273,0.6301000000000001,0.3125667142120756,0.06820000000000004,-0.57225
82640-04-8,furin,0.018,0.8886499999999999,0.4706,0.5345166666666666,0.39913364887800007,0.9339999999999999,0.4354392389683471,-0.4180499999999999,-0.4526
2809-21-4,furin,0.35285,0.7146,0.384,0.4890083333333333,0.24515171153117954,0.5959,0.20047017442336237,-0.3306,-0.03115000000000001
129497-78-5,furin,0.25785,0.944,0.8772,0.7962416666666668,0.3644896399990906,0.9125,0.3783425443078446,-0.06679999999999997,-0.61935
366-70-1,furin,0.01625,0.5799,0.3983,0.39515833333333333,0.2802713143842349,0.6556,0.28770415505051944,-0.18159999999999998,-0.38205
50-78-2,furin,0.5404,0.33320000000000005,0.70535,0.5538083333333333,0.22748844732571954,0.6828000000000001,0.18647429000624544,0.37215,-0.16495000000000004
59-67-6,furin,0.8304,0.3481,0.6656500000000001,0.5872583333333333,0.29337465750583613,0.8436,0.24515092460224036,0.31755000000000005,0.16474999999999995
147403-03-0,furin,0.9837,0.929,0.9979,0.9725666666666668,0.03553696666852702,0.09060000000000001,0.036379802088521575,0.06889999999999996,-0.01419999999999999
51-48-9,furin,0.17265000000000003,0.9916,0.8468,0.7827083333333333,0.39389043527356693,0.8605,0.437059180775327,-0.14480000000000004,-0.67415
89-57-6,furin,0.1189,0.08065,0.019,0.0562,0.05983142151077476,0.1285,0.05040468728203757,-0.061649999999999996,0.0999
63675-72-9,furin,0.74655,0.4006,0.6406000000000001,0.5782583333333333,0.19670741131606267,0.44410000000000005,0.17725067230714062,0.24000000000000005,0.10594999999999999
93-14-1,furin,0.6597,0.8562,0.9396,0.86515,0.20145279347777734,0.5273,0.1437079329751841,0.08340000000000003,-0.27990000000000004
56180-94-0,furin,0.21775,0.5321,0.7298,0.5785583333333334,0.29759505652256163,0.7317,0.2582300056796912,0.1977,-0.51205
25451-15-4,furin,0.802,0.3479,0.7283999999999999,0.6138333333333333,0.23786549981029195,0.5598,0.24372252665685215,0.38049999999999995,0.07360000000000011
2022-85-7,furin,0.5262,0.8224,0.66905,0.6963583333333334,0.15813192909719404,0.4801,0.14813101464581954,-0.15335,-0.14285000000000003
554-57-4,furin,0.36855,0.31475,0.76115,0.5469166666666666,0.26791772928768015,0.7157,0.24368769631094084,0.4464,-0.3926
50-44-2,furin,0.8390500000000001,0.6416999999999999,0.522,0.6147416666666666,0.22745495744579117,0.6757,0.16010195449566925,-0.11969999999999992,0.31705000000000005
156-57-0,furin,0.0271,0.037000000000000005,0.47950000000000004,0.2566,0.2318677122843972,0.4933,0.2583827974149982,0.4425,-0.4524
50-01-1,furin,0.34845,0.0742,0.1172,0.14140833333333333,0.1395625272055504,0.35019999999999996,0.14750063559185092,0.043,0.23124999999999998
99464-64-9,furin,0.67215,0.07035,0.6000000000000001,0.43547500000000006,0.32380186534360794,0.8162999999999999,0.32860766500494176,0.5296500000000001,0.07214999999999994
82419-36-1,furin,0.025849999999999998,0.82545,0.7146,0.6367583333333334,0.38994372756420465,0.8671,0.43320981156171123,-0.11085,-0.68875
122647-32-9,furin,0.14135,0.98005,0.8011999999999999,0.7508416666666666,0.40775844646882137,0.9144,0.4417403149287297,-0.17885000000000006,-0.6598499999999999
149003-01-0,furin,0.2861,0.6165,0.036449999999999996,0.2714083333333333,0.2949465539155639,0.7942,0.29096027363427696,-0.5800500000000001,0.24965000000000004
112811-59-3,furin,0.6395,0.11674999999999999,0.264,0.2775,0.35341942457463577,0.9358,0.26955221355673065,0.14725000000000002,0.37549999999999994
51803-78-2,furin,0.1325,0.683,0.50345,0.501475,0.3259053037310071,0.7881,0.28074079236904637,-0.1795500000000001,-0.37094999999999995
