compound_id,target_id,branch_sequence,branch_pose,branch_structure,consensus_123,disagreement_sd,disagreement_range,disagreement_branch_sd,structure_minus_pose,sequence_minus_structure
120202-66-6,pa_h5n1,0.84365,0.98525,0.7657499999999999,0.8519,0.1214323089900981,0.25749999999999995,0.11127984243938044,-0.21950000000000003,0.07790000000000008
120511-73-1,pa_h5n1,0.23485,0.36734999999999995,0.29505000000000003,0.30911666666666665,0.06486266774244386,0.14709999999999998,0.06634201785696098,-0.07229999999999992,-0.06020000000000003
122111-03-9,pa_h5n1,0.65515,0.9832000000000001,0.9530000000000001,0.913425,0.18068665049379456,0.4636,0.1813116400933303,-0.030200000000000005,-0.29785000000000006
122320-73-4,pa_h5n1,0.33225,0.08199999999999999,0.28985,0.22763333333333335,0.14165263146161458,0.3677,0.1339306070321493,0.20785,0.04239999999999999
122647-32-9,pa_h5n1,0.16455,0.42884999999999995,0.1928,0.266775,0.20050962736653485,0.5482,0.1451276191265237,-0.23604999999999995,-0.028249999999999997
122883-93-6,pa_h5n1,0.7539,0.98905,0.9379500000000001,0.9243083333333333,0.19061535789822043,0.488,0.12368045857504463,-0.05109999999999992,-0.18405000000000005
1247-42-3,pa_h5n1,0.9921,0.89215,0.8964,0.9109333333333333,0.06564161535692634,0.15990000000000004,0.05651925188228639,0.004249999999999976,0.09570000000000001
124750-99-8,pa_h5n1,0.36935,0.6256999999999999,0.8857999999999999,0.7130249999999999,0.2471182935357073,0.6555,0.2582272690867484,0.2601,-0.5164499999999999
124937-52-6,pa_h5n1,0.3392,0.73395,0.88605,0.7442083333333334,0.3096026980933252,0.7954,0.2822548774305474,0.1521,-0.5468500000000001
125-84-8,pa_h5n1,0.6059,0.88015,0.84975,0.8192416666666666,0.15275081669176108,0.40469999999999995,0.15033298872835596,-0.030399999999999983,-0.24385
1263-89-4,pa_h5n1,0.07375,0.17525000000000002,0.64085,0.39113333333333333,0.281036833291771,0.6885,0.3024037091924194,0.4656,-0.5671
1264-62-6,pa_h5n1,0.0639,0.6688,0.5027,0.48493333333333327,0.3325385932489641,0.889,0.31252697483577313,-0.16609999999999991,-0.4388
127-07-1,pa_h5n1,0.3732,0.6547499999999999,0.2619,0.4114,0.2413737164647385,0.6484,0.20248012865464102,-0.3928499999999999,0.11129999999999995
127-56-0,pa_h5n1,0.5325,0.7211000000000001,0.8072,0.7327166666666667,0.32232844532660576,0.8638,0.14050104388698806,0.08609999999999995,-0.27470000000000006
127-79-7,pa_h5n1,0.65515,0.2022,0.3484,0.35079166666666667,0.2315494885908122,0.6224000000000001,0.23116866317330587,0.1462,0.30675
128794-94-5,pa_h5n1,0.26525,0.91735,0.73835,0.7191666666666666,0.3122369319389791,0.7096,0.33692210276758827,-0.17900000000000005,-0.47309999999999997
129101-54-8,pa_h5n1,0.6559,0.4052,0.6809000000000001,0.5848333333333333,0.2311817870565644,0.5966,0.15247184439539432,0.27570000000000006,-0.025000000000000022
129497-78-5,pa_h5n1,0.46540000000000004,0.7869999999999999,0.90325,0.791525,0.3307896718460236,0.9181999999999999,0.22680874652446714,0.11625000000000008,-0.43784999999999996
129722-12-9,pa_h5n1,0.65925,0.91305,0.7788,0.8036250000000001,0.1649631110278901,0.38439999999999996,0.12697093171273494,-0.13424999999999998,-0.11955000000000005
130-61-0,pa_h5n1,0.10565,0.70235,0.2611,0.3822750000000001,0.2888775911466077,0.7759,0.3095472917557725,-0.44125000000000003,-0.15545
13010-47-4,pa_h5n1,0.64035,0.2865,0.79565,0.60005,0.24902635737340473,0.6532,0.26094751547645234,0.50915,-0.1553
132-17-2,pa_h5n1,0.39640000000000003,0.40700000000000003,0.5622,0.4828333333333334,0.27024037448168253,0.5686,0.0928161623856535,0.1552,-0.1658
