compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
645-05-6,211.16657102808998,-0.5112999999999992,49.64000000000001,0,5,1,3,1,1,15,0.6666666666666666,0,0.6736853594290231
91832-40-5,394.0285340639101,-1.5064999999999988,161.04000000000002,3,10,-1,5,3,1,26,0.21428571428571427,4,0.2350719555253545
2668-66-8,344.23514488399996,3.9403000000000032,54.370000000000005,1,3,0,1,4,0,25,0.8181818181818182,0,0.7837023582235211
153559-49-0,347.20165368391,4.769020000000005,40.129999999999995,0,2,-1,3,3,2,26,0.375,0,0.802266996072772
603-50-9,361.13140808800006,4.112400000000003,65.49000000000001,0,5,0,5,3,3,27,0.13636363636363635,2,0.5053017377899989
69388-84-7,232.02851699991,-2.129699999999998,94.57999999999998,0,5,-1,1,2,0,15,0.75,1,0.4812035402653332
159811-51-5,433.26169398,4.972200000000005,57.61,1,4,0,3,5,1,32,0.5714285714285714,0,0.7310140206327828
638-94-8,416.2198887439999,2.326700000000001,93.06,2,6,0,2,5,0,30,0.75,0,0.7177493123306525
211915-06-9,627.316917412,5.8208000000000055,140.04000000000002,2,9,0,16,4,4,46,0.35294117647058826,4,0.06855452689615898
1177-87-3,434.210466932,2.466500000000001,100.90000000000002,2,6,0,3,4,0,31,0.7083333333333334,1,0.6621165611785135
1115-70-4,130.10872180408998,-3.0634999999999986,93.22999999999999,3,0,1,0,0,0,9,0.5,2,0.2398790210468143
144689-63-4,571.23105629191,4.189220000000003,160.47,1,10,-1,11,5,5,42,0.3333333333333333,1,0.22637053329116408
882-09-7,213.03239543991,1.2472999999999996,49.36,0,3,-1,3,1,1,14,0.3,0,0.759418501076922
139481-59-7,439.15241204791016,1.7420999999999995,121.20000000000002,0,6,-1,7,5,5,33,0.125,0,0.3785918282968155
723-46-6,252.04483575991,1.95932,100.29,1,5,-1,3,2,2,17,0.1,1,0.8412922689957015
57-66-9,284.09620263591,0.8607999999999998,77.51,0,4,-1,7,1,1,19,0.46153846153846156,0,0.7437635043017546
1069-66-5,143.10775329991,0.9526999999999999,40.129999999999995,0,2,-1,5,0,0,10,0.875,0,0.574585486305641
15307-79-6,294.00940749990997,3.0294,52.16,1,3,-1,4,2,2,19,0.07142857142857142,0,0.9429164250092252
60-32-2,131.094628656,-1.4613999999999996,67.77,1,2,0,5,0,0,9,0.8333333333333334,1,0.46314420521927496
13647-35-3,329.199093724,2.8400800000000017,73.62,1,4,0,0,5,0,24,0.9,1,0.6935956697601692
29094-61-9,445.1783753440001,2.0781199999999993,130.14999999999998,3,6,0,7,3,2,31,0.42857142857142855,0,0.5981616815314104
98319-26-7,372.277678392,3.8145000000000024,58.2,2,2,0,1,4,0,27,0.8260869565217391,0,0.7351466700288802
23593-75-1,345.11530267609004,4.795800000000004,19.07,0,0,1,4,4,4,25,0.045454545454545456,1,0.473363812052741
1508-76-5,288.23219100009,2.5233000000000008,24.67,2,1,1,5,3,1,21,0.6842105263157895,0,0.8548548283419678
6080-58-6,189.00517323973003,-5.252599999999999,140.62,1,7,-3,5,0,0,13,0.5,0,0.45490401855988993
68-35-9,249.04517010791,1.4529,100.04,1,5,-1,3,2,2,17,0.0,1,0.8296184522843686
23674-86-4,508.227259868,3.5195000000000025,106.97000000000001,1,7,0,6,4,0,36,0.7037037037037037,1,0.5473104243510836
