compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
50-78-2,179.03498228391,-0.024600000000000066,66.43,0,4,-1,2,1,1,13,0.1111111111111111,2,0.4721709057370543
50-81-7,175.02481152391002,-2.6050999999999997,110.05000000000001,3,6,-1,2,1,0,12,0.5,1,0.39661222142020924
50-91-9,246.065199672,-1.6836,104.55000000000001,3,6,0,2,2,1,17,0.5555555555555556,0,0.5776171321259124
503612-47-3,459.19065428,2.699600000000001,110.75999999999999,1,6,0,5,5,3,34,0.28,0,0.6307445123645383
50700-72-6,558.43856117618,4.548800000000004,57.04,1,4,2,4,6,0,40,0.9411764705882353,2,0.4064631160338303
51-21-8,130.017855556,-0.7977000000000001,65.72,2,2,0,0,1,1,9,0.0,0,0.482564502908463
51-52-5,170.05138394,1.38499,48.65,2,2,0,2,1,1,11,0.42857142857142855,1,0.6587322532597095
51333-22-3,430.2355388079999,2.7168000000000014,93.06,2,6,0,4,5,0,31,0.76,0,0.7124527920741569
51481-61-9,253.12299196408998,0.016500000000000237,90.13999999999999,3,3,1,5,1,1,17,0.5,4,0.2984618930282496
51803-78-2,307.03941603191004,3.3519000000000014,100.61,0,5,-1,5,2,2,21,0.07692307692307693,2,0.6224217123563618
518048-05-0,444.155745992,0.9115199999999997,152.24,3,9,0,6,3,3,32,0.3,0,0.5072974072735444
52-21-1,402.20423868,2.1284,100.90000000000002,2,6,0,3,4,0,29,0.6956521739130435,1,0.7016123362777874
52-86-8,376.14741132809,3.0085000000000024,41.74,2,2,1,6,3,2,26,0.38095238095238093,1,0.7608854164782016
521-78-8,295.21687528409,2.703900000000001,7.680000000000001,1,1,1,4,3,2,22,0.4,0,0.9111183620684604
527-07-1,195.05102627191,-4.827799999999996,141.28,5,7,-1,5,0,0,13,0.8333333333333334,0,0.29598246509816506
53-86-1,356.06950921991006,2.59262,71.36,0,5,-1,4,3,3,25,0.15789473684210525,0,0.7200102973128709
532-03-6,241.09502258,0.5302000000000002,91.00999999999999,2,5,0,6,1,1,17,0.36363636363636365,0,0.757667099994584
53885-35-1,264.06082458009,2.5427,4.44,1,1,1,2,3,2,17,0.2857142857142857,0,0.8504053019619108
54-85-3,137.058911844,-0.3149000000000006,68.00999999999999,2,3,0,1,1,1,10,0.0,3,0.3165786787720106
54029-12-8,281.08341234000005,1.6806999999999999,87.31,2,3,0,3,2,2,19,0.3333333333333333,0,0.8968983095288725
540737-29-9,312.16985926,1.5447799999999996,88.91,1,5,0,3,3,2,23,0.5,0,0.9284511020269034
541-15-1,161.10519334,-1.8064999999999984,60.36,1,3,0,4,0,0,11,0.8571428571428571,1,0.4944861326467559
541-22-0,258.30240205618,3.5196000000000023,0.0,0,0,2,11,0,0,18,1.0,2,0.39283811960871146
5451-09-2,131.058243148,-2.6724999999999994,84.84,1,3,0,4,0,0,9,0.6,0,0.45111275247950855
54527-84-3,480.21291210008997,2.260700000000001,112.21000000000001,2,7,1,9,3,2,35,0.3076923076923077,3,0.3216533356436632
548-62-9,372.24342438009,4.4596000000000044,9.49,0,2,1,4,3,2,28,0.24,1,0.7332076636758533
548-73-2,380.17688161609004,2.2613000000000003,59.300000000000004,2,3,1,6,4,3,28,0.2727272727272727,1,0.6447658529130625
549-18-8,278.19032618809,2.751500000000001,4.44,1,0,1,3,3,2,21,0.3,0,0.8803750835032242
55-06-1,649.7827754119099,1.2691999999999999,100.06,1,4,-1,5,2,2,23,0.13333333333333333,1,0.49368698345338624
55-98-1,246.023180168,-0.2809999999999997,86.74000000000001,0,6,0,7,0,0,14,1.0,2,0.453312740145793
550-99-2,211.12297490009,0.4646000000000004,26.0,2,1,1,2,3,2,16,0.21428571428571427,0,0.7415457054458074
55079-83-9,325.18091823991006,3.832360000000003,49.36,0,3,-1,6,1,1,24,0.2857142857142857,2,0.5897491967203508
55268-74-1,312.183778008,2.5349000000000004,40.620000000000005,0,2,0,1,4,1,23,0.5789473684210527,0,0.7993674496203519
553-08-2,511.43703880009,8.049500000000009,38.25,0,4,1,22,2,2,37,0.6875,2,0.11835705048056228
555-30-6,211.084457896,-1.6092000000000006,108.23000000000002,3,4,0,3,1,1,15,0.3,1,0.5225117250399125
5593-20-4,504.252331744,3.8175000000000026,106.97000000000001,1,7,0,6,4,0,36,0.7142857142857143,1,0.5482119854331166
56-85-9,146.06914218,-3.3876999999999997,110.86000000000001,2,3,0,4,0,0,10,0.6,0,0.43105659848413314
56180-94-0,645.2480135359999,-8.721900000000014,329.01,14,19,0,13,3,0,44,0.88,2,0.06526150429771298
56211-40-6,348.1256115,2.7331200000000004,103.50999999999999,2,4,0,5,2,2,24,0.25,0,0.8666810888857404
56296-78-7,310.14132530809,3.408800000000003,25.84,1,1,1,6,2,2,22,0.29411764705882354,0,0.8691389286871458
57-41-0,252.089877624,1.7696,58.2,2,2,0,2,3,2,19,0.06666666666666667,1,0.8001945345367882
57-66-9,284.09620263591,0.8607999999999998,77.51,0,4,-1,7,1,1,19,0.46153846153846156,0,0.7437635043017546
57-68-1,277.07647023591005,2.06974,100.04,1,5,-1,3,2,2,19,0.16666666666666666,1,0.8654388495144083
57248-88-1,232.98652204782002,-4.276099999999999,171.42,3,6,-2,4,0,0,13,1.0,1,0.41179927391740656
57808-65-8,660.84490259591,6.492400000000003,75.95,1,3,-1,4,3,3,30,0.09090909090909091,1,0.32498139373800405
57852-57-0,498.1758578960899,0.3035000000000001,178.23,5,9,1,3,5,2,36,0.4230769230769231,1,0.31772504365309384
5786-21-0,327.13710074009,2.305600000000001,32.07,2,3,1,0,4,2,23,0.2777777777777778,0,0.7779767589631497
58-56-0,169.073893212,-1.1326800000000001,77.66000000000001,2,3,0,2,1,1,12,0.375,0,0.5875409744678217
58-61-7,267.096753896,-1.9800000000000006,139.54000000000002,4,9,0,2,3,2,19,0.5,0,0.49051986767922323
58-96-8,244.069536104,-2.8519,124.78,4,7,0,2,2,1,17,0.5555555555555556,0,0.4435105912731592
58579-51-4,254.996617204,2.1171,44.7,1,3,0,0,3,1,16,0.2,0,0.7727612256090268
5874-97-5,212.12811985609,0.10300000000000026,77.30000000000001,4,3,1,4,1,1,15,0.45454545454545453,0,0.571566990154724
59-05-2,452.1567628998199,-2.4009999999999954,216.2,3,12,-2,9,3,3,33,0.25,0,0.30942013107339617
59-67-6,122.02475194791,-0.5549000000000002,53.019999999999996,0,3,-1,1,1,1,9,0.0,0,0.5015757599713943
59-87-0,198.038904672,0.19000000000000006,123.76,2,5,0,3,1,1,14,0.0,3,0.40818931541952863
590-63-6,161.12845420409,0.1764,52.32,1,2,1,3,0,0,11,0.8571428571428571,1,0.6000594654010832
595-33-5,384.230059504,4.575300000000005,60.440000000000005,0,4,0,2,4,0,28,0.7083333333333334,1,0.6541950145872741
60-32-2,131.094628656,-1.4613999999999996,67.77,1,2,0,5,0,0,9,0.8333333333333334,1,0.46314420521927496
