compound_id,target_id,is_h3n2,is_h5n1,glidesp_pr_x_h3n2,pignet2_pr_x_h3n2,ligunity_pr_x_h3n2,boltz2_pr_x_h3n2,balm_pr_x_h3n2,mammal_pr_x_h3n2,glidesp_pr_x_h5n1,pignet2_pr_x_h5n1,ligunity_pr_x_h5n1,boltz2_pr_x_h5n1,balm_pr_x_h5n1,mammal_pr_x_h5n1
198480-56-7,pa_h3n2,1,0,0.0939,0.554,0.2292,0.1185,0.0697,0.0085,0.0,0.0,0.0,0.0,0.0,0.0
201530-41-8,pa_h3n2,1,0,0.8606,0.7497,0.8065,0.925,0.6657,0.1468,0.0,0.0,0.0,0.0,0.0,0.0
202138-50-9,pa_h3n2,1,0,0.3504,0.2967,0.8145,0.3897,0.3709,0.0728,0.0,0.0,0.0,0.0,0.0,0.0
2030-63-9,pa_h3n2,1,0,0.1308,0.3547,0.1716,0.566,0.8972,0.319,0.0,0.0,0.0,0.0,0.0,0.0
204255-11-8,pa_h3n2,1,0,0.3046,0.3066,0.1003,0.646,0.8132,0.6519,0.0,0.0,0.0,0.0,0.0,0.0
2062-78-4,pa_h3n2,1,0,0.2572,0.2364,0.9368,0.8156,0.7549,0.1063,0.0,0.0,0.0,0.0,0.0,0.0
2068-78-2,pa_h3n2,1,0,0.536,0.2788,0.3294,0.4922,0.1451,0.6329,0.0,0.0,0.0,0.0,0.0,0.0
211915-06-9,pa_h3n2,1,0,0.3727,0.3533,0.6265,0.4592,0.5681,0.2592,0.0,0.0,0.0,0.0,0.0,0.0
21256-18-8,pa_h3n2,1,0,0.7751,0.2746,0.8668,0.6666,0.4672,0.4927,0.0,0.0,0.0,0.0,0.0,0.0
2135-17-3,pa_h3n2,1,0,0.5326,0.6673,0.5641,0.7393,0.1694,0.8063,0.0,0.0,0.0,0.0,0.0,0.0
21679-14-1,pa_h3n2,1,0,0.6382,0.3027,0.6133,0.3784,0.0407,0.8049,0.0,0.0,0.0,0.0,0.0,0.0
21736-83-4,pa_h3n2,1,0,0.8789,0.6695,0.1126,0.2313,0.0224,0.3368,0.0,0.0,0.0,0.0,0.0,0.0
2192-20-3,pa_h3n2,1,0,0.8332,0.3456,0.7753,0.8382,0.1015,0.1884,0.0,0.0,0.0,0.0,0.0,0.0
220127-57-1,pa_h3n2,1,0,0.4912,0.5797,0.5443,0.3074,0.0181,0.2355,0.0,0.0,0.0,0.0,0.0,0.0
220620-09-7,pa_h3n2,1,0,0.4217,0.6405,0.8655,0.6016,0.1452,0.1751,0.0,0.0,0.0,0.0,0.0,0.0
22254-24-6,pa_h3n2,1,0,0.9083,0.6097,0.1503,0.2188,0.557,0.1111,0.0,0.0,0.0,0.0,0.0,0.0
22260-51-1,pa_h3n2,1,0,0.7929,0.9615,0.9705,0.968,0.1479,0.3865,0.0,0.0,0.0,0.0,0.0,0.0
223673-61-8,pa_h3n2,1,0,0.2965,0.0499,0.9699,0.8686,0.3128,0.5036,0.0,0.0,0.0,0.0,0.0,0.0
224785-90-4,pa_h3n2,1,0,0.4966,0.5692,0.5212,0.4524,0.3919,0.4394,0.0,0.0,0.0,0.0,0.0,0.0
22916-47-8,pa_h3n2,1,0,0.8712,0.2285,0.7669,0.2098,0.6869,0.7505,0.0,0.0,0.0,0.0,0.0,0.0
229975-97-7,pa_h3n2,1,0,0.9675,0.9903,0.9062,0.8949,0.7034,0.6026,0.0,0.0,0.0,0.0,0.0,0.0
231277-92-2,pa_h3n2,1,0,0.4417,0.2848,0.268,0.7971,0.675,0.7957,0.0,0.0,0.0,0.0,0.0,0.0
23651-95-8,pa_h3n2,1,0,0.2791,0.4418,0.7716,0.7048,0.8151,0.9939,0.0,0.0,0.0,0.0,0.0,0.0
242478-38-2,pa_h3n2,1,0,0.7747,0.8298,0.3436,0.4761,0.8737,0.0685,0.0,0.0,0.0,0.0,0.0,0.0
2447-57-6,pa_h3n2,1,0,0.2275,0.3128,0.0286,0.322,0.1235,0.6432,0.0,0.0,0.0,0.0,0.0,0.0
24729-96-2,pa_h3n2,1,0,0.8864,0.6402,0.999,0.999,0.9156,0.8944,0.0,0.0,0.0,0.0,0.0,0.0
25332-39-2,pa_h3n2,1,0,0.4797,0.7516,0.7909,0.9187,0.6089,0.9174,0.0,0.0,0.0,0.0,0.0,0.0
25451-15-4,pa_h3n2,1,0,0.9547,0.9722,0.6759,0.574,0.6883,0.8073,0.0,0.0,0.0,0.0,0.0,0.0
2627-69-2,pa_h3n2,1,0,0.9734,0.9519,0.4019,0.2392,0.1202,0.0438,0.0,0.0,0.0,0.0,0.0,0.0
26807-65-8,pa_h3n2,1,0,0.546,0.6567,0.7404,0.662,0.4552,0.2561,0.0,0.0,0.0,0.0,0.0,0.0
269055-15-4,pa_h3n2,1,0,0.2095,0.6792,0.984,0.9988,0.968,0.9033,0.0,0.0,0.0,0.0,0.0,0.0
274693-27-5,pa_h3n2,1,0,0.3323,0.2732,0.8774,0.9895,0.7031,0.0264,0.0,0.0,0.0,0.0,0.0,0.0
27833-64-3,pa_h3n2,1,0,0.4977,0.3558,0.57,0.8502,0.1971,0.1844,0.0,0.0,0.0,0.0,0.0,0.0
2809-21-4,pa_h3n2,1,0,0.9934,0.9988,0.9945,0.999,0.8777,0.9465,0.0,0.0,0.0,0.0,0.0,0.0
