compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,exact_mol_wt,logp,tpsa,hbd,hba,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,qed
34183-22-7,furin,CCC[NH2+]C[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,0.999,0.9933,0.9453,0.9191,0.2044,0.1195,342.20637017609,2.2152000000000003,63.14000000000001,2,3,11,2,2,25,0.3809523809523809,0.4860971257197134
32986-56-4,furin,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])C[C@@H]1O,0.1438,0.677,0.912,0.6334,0.0076,0.011,472.2955100244501,-9.87980000000001,276.27000000000004,10,9,6,3,0,32,1.0,0.1752724698613096
179324-69-7,furin,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0.9398,0.8487,0.6,0.7617,0.1186,0.0795,384.19688568,0.3605999999999996,124.44,4,6,9,2,2,28,0.3684210526315789,0.4630461526225883
2030-63-9,furin,CC(C)/[NH+]=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,0.5661,0.5676,0.5984,0.7629,0.1494,0.5275,473.12942851609006,5.570400000000005,43.82,2,3,4,5,3,33,0.1111111111111111,0.3347150082665135
155213-67-5,furin,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.3866,0.6623,0.6106,0.8133,0.9504,0.3238,720.3127606359999,5.905200000000005,145.77999999999997,4,9,17,4,4,50,0.4324324324324324,0.1062404658591032
163222-33-1,furin,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,0.9722,0.9482,0.9964,0.9949,0.3123,0.4931,409.148949972,4.888300000000004,60.77,2,3,6,4,3,30,0.2083333333333333,0.5702138618789355
132539-06-1,furin,Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[NH+](C)CC1,0.8609,0.7583,0.0569,0.0241,0.3721,0.1271,313.14814409209,2.0221200000000006,32.07,2,4,0,4,2,22,0.3529411764705882,0.7798006808123278
32672-69-8,furin,C[N@H+]1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21,0.6791,0.7578,0.7635,0.712,0.6388,0.0863,387.1559319040901,3.4840000000000027,24.75,1,3,4,4,2,26,0.4285714285714285,0.8692990927222461
229975-97-7,furin,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,0.91,0.8014,0.9447,0.863,0.4281,0.2896,704.3897480040001,4.2116000000000025,171.21999999999997,5,9,14,3,3,51,0.4473684210526316,0.1543119595881688
79559-97-0,furin,C[NH2+][C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.7826,0.8445,0.682,0.8572,0.5153,0.8826,306.08108135609,4.153400000000002,16.61,1,0,2,3,2,20,0.2941176470588235,0.8580133130898641
