id,smiles,source
Z4164535231,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@H](O)[C@H]2O)c(=O)n1,Enamine
Z1383678603,Cc1nc(N2CCC(c3cc(N)[nH]n3)CC2)c(F)c(C)[nH+]1,Enamine
Z8540659818,NC(=O)c1cccc(NC(=O)CNC(=O)[C@H](N)Cc2cc3ccccc3o2)c1,Enamine
Z2062690124,O=C(N[C@H]1C[C@@H]([NH+]2CCCCC2)C1)N1CC[C@](O)(c2cn[nH]n2)C1,Enamine
Z6775360913,COc1cc(C(=O)N2CC[C@H](NC(N)=O)C2)cc2[nH]c(=O)[nH]c12,Enamine
Z5765451867,NC(=O)C(F)(F)[C@]1(O)CCN(C(=O)c2[nH]nc3c2C[NH2+]CC3)C1,Enamine
Z8796411591,N#Cc1c[n-]c(C(=O)N2CCN(C(=O)[C@H]3C[C@@H](n4cc[nH+]c4)C3)C[C@H](CO)C2)c1,Enamine
Z359362000,C[C@H](Nc1nc(C(F)(F)F)nc2nc[nH]c12)c1cccc(S(N)(=O)=O)c1,Enamine
Z4866922518,CC(C)[C@H](NC(N)=O)C(=O)N1CCCC[C@@H]1CNC(=O)C1(NC(N)=O)CC1,Enamine
Z8342387942,Nc1nc2cc(C(=O)N3CC[C@@H]4CC[C@H](C3)N4C(=O)c3ccnc4[nH]nnc34)ccc2[nH]1,Enamine
Z2941715682,C[C@H]1C[C@H](C)C[NH+](C[C@@H](C)NC(=O)c2nc(N)c3[nH]cnc3n2)C1,Enamine
Z432624078,C[C@@H](O)CNC(=O)NCc1ccc(CS(N)(=O)=O)cc1,Enamine
Z826479794,COc1ccc(CNC(=O)NCc2ccc(-n3cc[nH+]c3)c(F)c2)cc1O,Enamine
Z8920723561,COc1ccc(B(O)O)cc1C[N@@H+]1CC=CCC2(CC2)C1,Enamine
Z6480390770,CCOc1cccc(CC[C@H](C)NC(=O)NC[C@@H](CC)C(=O)[O-])c1,Enamine
Z9142288802,Cc1nc2ccc(-n3cc(C[N@@H+](C)Cc4ccc(C(=O)[O-])cc4)nn3)cc2[nH]1,Enamine
Z1071355430,C[NH+](C)CCNC(=O)c1cccc(CNC(=O)NC2CC2)c1,Enamine
Z8561516582,C[C@@H]1CNc2[nH]nc(C(=O)N[C@H]3CCC(=O)NC3=O)c2C1,Enamine
Z9230602736,Cc1ccc(C[C@@H](O)CN[C@@H](C)Cc2ccc(B(O)O)cc2)cc1,Enamine
Z85930595,Nc1nc(Sc2nc(C[NH+]3CCCCC3)nc3sc4c(c23)CCCC4)n[nH]1,Enamine
Z2002408090,C#CCN1CCO[C@@H](C[N@H+](C)CC(N)=O)C1,Enamine
Z9062068997,O=C(N[C@H]1C[C@@H](O)[C@@H](O)C1)c1cnc2c(c1)CC[NH2+]C2,Enamine
Z5851977329,O=C1CC[C@@H](NC(=O)NCc2cccc(NC(=O)Nc3ccccc3)c2)[C@H]([C@H]2CCCO2)N1,Enamine
Z8279871826,O[C@H](C[NH2+]CCOc1cnc2[nH]ccc2c1)C(F)(F)F,Enamine
Z4185521108,O=C(NCc1cn(C[C@]2(O)CC[NH2+]C2)nn1)Nc1ccccc1Cl,Enamine
Z446414960,NS(=O)(=O)c1ccc(CCNC(=O)Nc2cn[nH]c2)cc1,Enamine
Z3686391651,CNC(=O)C[C@@H]1CN(c2nc[nH+]c(C)c2OC)C[C@H]1O,Enamine
Z8515080935,N#Cc1cc(-c2cnc3ccc(NCCO)nn23)ccc1O,Enamine
Z9102583429,O=C(c1ccc(F)nc1F)N1CC[C@@H](Nc2cc(OCCO)ncn2)[C@H](O)C1,Enamine
Z1139283155,C[C@H](O)C[N@H+]1CCN(CC(=O)N2CC(=O)Nc3ccccc32)C[C@@H]1C,Enamine
Z5714502063,O=C(NCc1ccccc1)Nc1ccc([O-])c(C(=O)NCc2ccncc2C(F)(F)F)c1,Enamine
Z594284200,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,Enamine
Z3291119633,NC(=O)c1cn([C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)c2ncnc(N)c12,Enamine
Z822228854,C[C@H](NC(=O)Nc1cn[nH]c1)c1ccc(NC(N)=O)cc1,Enamine
Z642683930,CC(C)NC(=O)N[C@H](C)c1ccc(NC(N)=O)cc1,Enamine
